股票代號,股票名稱,成交金額(元),成交金額_分類
3625,西勝,13820.0,中間
2852,第一保,13940.85,中間
8050,廣積,13941.6,中間
9935,慶豐富,13956.800000000001,中間
5519,隆大,13964.4,中間
4572,駐龍,14043.0,中間
2511,太子,14094.599999999999,中間
4545,銘鈺,14123.199999999999,中間
6931,青松健康,14184.800000000001,中間
2491,吉祥全,14192.3,中間
5465,富驊,14196.0,中間
6668,中揚光,14202.000000000002,中間
6470,宇智,14207.4,中間
6933,AMAX-KY,14208.0,中間
7728,光焱科技,14260.0,中間
2440,太空梭,14292.749999999998,中間
3703,欣陸,14365.5,中間
2468,華經,14425.5,中間
2905,三商,14474.25,中間
8147,正淩,14544.0,中間
9136,巨騰-DR,14579.550000000001,中間
3169,亞信,14580.9,中間
6219,富旺,14608.7,中間
6552,易華電,14614.050000000001,中間
6216,居易,14674.7,中間
3454,晶睿,14751.0,中間
6538,倉和,14797.599999999999,中間
9951,皇田,14815.5,中間
3597,映興,14817.4,中間
3527,聚積,14950.0,中間
6885,全福生技,14964.699999999999,中間
6237,驊訊,14969.4,中間
6624,萬年清,15002.099999999999,中間
6684,安格,15030.0,中間
8924,大田,15034.8,中間
4933,友輝,15053.5,中間
3147,大綜,15072.0,中間
3687,歐買尬,15095.999999999998,中間
6024,群益期,15102.9,中間
3360,尚立,15112.5,中間
6418,詠昇,15209.900000000001,中間
7765,中華資安,15219.0,中間
5609,中菲行,15382.1,中間
8383,千附,15384.75,中間
8084,巨虹,15394.3,中間
6431,光麗-KY,15459.3,中間
3024,憶聲,15514.749999999998,中間
2471,資通,15517.0,中間
6165,浪凡,15562.95,中間
6756,威鋒電子,15586.8,中間
2460,建通,15624.0,中間
2066,世德,15641.400000000001,中間
5236,凌陽創新,15774.0,中間
3607,谷崧,15834.0,中間
7738,東聯互動,15879.5,中間
3290,東浦,15885.75,中間
8045,達運光電,15888.500000000002,中間
6164,華興,15900.4,中間
4549,桓達,15930.5,中間
8349,恒耀,15984.199999999999,中間
5356,協益,15997.800000000001,中間
3209,全科,16021.199999999999,中間
6156,松上,16051.2,中間
3615,安可,16177.050000000001,中間
5278,尚凡*,16296.400000000001,中間
5011,久陽,16416.75,中間
1537,廣隆,16500.0,中間
3058,立德,16552.95,中間
8076,伍豐,16611.0,中間
5471,松翰,16642.600000000002,中間
4119,旭富,16655.1,中間
4564,元翎,16667.2,中間
8937,合騏,16667.5,中間
6263,普萊德,16698.0,中間
6641,基士德-KY,16800.2,中間
1256,鮮活果汁-KY,16956.0,中間
1541,錩泰,17026.350000000002,中間
3311,閎暉,17026.55,中間
2431,聯昌,17028.0,中間
3484,崧騰,17085.6,中間
3040,遠見,17118.2,中間
2832,台產,17150.0,中間
3308,聯德,17200.2,中間
4729,熒茂,17277.3,中間
2065,世豐,17291.9,中間
1565,精華,17390.0,中間
5287,數字,17535.0,中間
4107,邦特,17640.0,中間
5493,三聯,17809.2,中間
3437,榮創,17862.95,中間
5484,慧友,17882.55,中間
5299,杰力,17956.4,中間
4306,炎洲,17984.0,中間
2707,晶華,18144.0,中間
6111,大宇資,18183.2,中間
6432,今展科,18186.3,中間
4934,太極,18224.05,中間
1521,大億,18228.0,中間
8182,加高,18291.45,中間
8440,綠電,18415.0,中間
4956,光鋐,18510.45,中間
2547,日勝生,18513.0,中間
5403,中菲,18696.0,中間
3122,笙泉,18734.0,中間
4908,前鼎,18772.0,中間
1218,泰山,18888.5,中間
1321,大洋,18914.399999999998,中間
6742,澤米,18954.3,中間
3550,聯穎,19016.399999999998,中間
2524,京城,19137.600000000002,中間
1720,生達,19156.8,中間
8404,百和興業-KY,19157.5,中間
4726,永昕,19224.6,中間
8059,凱碩,19271.2,中間
3002,歐格,19448.5,中間
2364,倫飛,19542.6,中間
2913,農林,19611.149999999998,中間
9902,台火,19662.1,中間
9911,櫻花,19688.5,中間
1702,南僑,19754.800000000003,中間
6606,建德工業,19805.2,中間
5515,建國,19831.5,中間
3447,展達,19834.15,中間
